OrderID,Date,Product,Category,Quantity,Price,Revenue,PaymentMethod,City,Rating,FeedbackText
1,16-10-2024,Hoodie,Men Fashion,3,1653.12,4959.36,Debit Card,Delhi,4,The material is too thin
2,17-08-2023,Joggers,Accessories,3,1543.39,4630.17,UPI,Pune,4,Amazing quality and fast delivery!
3,12-07-2024,Hoodie,Accessories,1,1313.65,1313.65,COD,Mumbai,2,Delivery took longer than expected
4,31-01-2023,Hoodie,Men Fashion,2,564.19,1128.38,Credit Card,Chennai,5,Very satisfied with the product
5,08-09-2024,T-Shirt,Accessories,3,1079.72,3239.16,Credit Card,Pune,1,Good fabric but size not perfect
6,27-10-2024,Cargo Pants,Men Fashion,1,1320.9,1320.9,COD,Chennai,1,Loved it! Great fit and style
7,12-10-2023,T-Shirt,Men Fashion,4,1405.51,5622.04,COD,Bengaluru,5,Good fabric but size not perfect
8,12-10-2023,Joggers,Men Fashion,1,1947.85,1947.85,Debit Card,Mumbai,2,Good fabric but size not perfect
9,05-04-2023,Cargo Pants,Men Fashion,4,1894.54,7578.16,Debit Card,Kolkata,2,Good fabric but size not perfect
10,19-12-2023,Jackets,Men Fashion,2,608.1,1216.2,COD,Chennai,2,Excellent customer support
11,08-05-2023,Cargo Pants,Men Fashion,1,1348.72,1348.72,Wallet,Bengaluru,1,Delivery took longer than expected
12,05-10-2024,Shirt,Accessories,2,1191.09,2382.18,Credit Card,Pune,4,Not happy with the packaging
13,13-03-2023,T-Shirt,Accessories,4,338.21,1352.84,Credit Card,Kolkata,2,Loved it! Great fit and style
14,24-10-2023,Hoodie,Men Fashion,3,1339.15,4017.45,UPI,Hyderabad,1,Loved it! Great fit and style
15,12-10-2023,Sweatshirt,Accessories,2,378.33,756.66,Debit Card,Delhi,1,"Average product, expected better"
16,15-01-2024,Shirt,Men Fashion,4,921.82,3687.28,Debit Card,Pune,4,Amazing quality and fast delivery!
17,25-10-2024,Hoodie,Accessories,2,453.03,906.06,Credit Card,Chennai,5,Not happy with the packaging
18,08-09-2023,Joggers,Women Fashion,2,638.45,1276.9,COD,Bengaluru,5,Amazing quality and fast delivery!
19,17-10-2024,Shorts,Accessories,3,1970.49,5911.47,Debit Card,Kolkata,2,Excellent customer support
20,27-02-2023,Shorts,Men Fashion,1,377.97,377.97,Debit Card,Hyderabad,2,Amazing quality and fast delivery!
21,02-10-2023,Hoodie,Men Fashion,3,1455.52,4366.56,Wallet,Pune,4,Very satisfied with the product
22,19-11-2023,Shorts,Accessories,1,409.59,409.59,COD,Hyderabad,2,The material is too thin
23,20-10-2024,Sweatshirt,Men Fashion,4,1900.74,7602.96,Debit Card,Delhi,4,The material is too thin
24,10-09-2023,Jackets,Accessories,2,1673.28,3346.56,Wallet,Hyderabad,1,Not happy with the packaging
25,20-08-2024,Cargo Pants,Women Fashion,1,326.14,326.14,Credit Card,Delhi,2,Loved it! Great fit and style
26,05-06-2024,Sweatshirt,Men Fashion,2,1462.2,2924.4,UPI,Kolkata,1,Loved it! Great fit and style
27,23-04-2023,Joggers,Accessories,3,1460.55,4381.65,Credit Card,Kolkata,3,Excellent customer support
28,08-03-2024,Hoodie,Women Fashion,4,1140.8,4563.2,COD,Chennai,4,Not happy with the packaging
29,24-04-2024,Jackets,Accessories,3,593.72,1781.16,UPI,Pune,3,Delivery took longer than expected
30,28-04-2023,Jackets,Accessories,1,738.93,738.93,Debit Card,Mumbai,2,"Average product, expected better"
31,28-10-2023,Cargo Pants,Men Fashion,4,1583.11,6332.44,COD,Mumbai,1,Amazing quality and fast delivery!
32,27-09-2023,Joggers,Accessories,2,1183.12,2366.24,UPI,Kolkata,2,The material is too thin
33,02-10-2024,Jackets,Accessories,2,1264.09,2528.18,Wallet,Chennai,3,Amazing quality and fast delivery!
34,23-07-2023,Joggers,Women Fashion,1,1947.29,1947.29,Credit Card,Chennai,2,Excellent customer support
35,27-06-2024,T-Shirt,Accessories,2,1063.58,2127.16,Debit Card,Hyderabad,5,Loved it! Great fit and style
36,20-01-2023,Hoodie,Women Fashion,2,1820.21,3640.42,Debit Card,Delhi,3,Amazing quality and fast delivery!
37,01-03-2023,Shorts,Accessories,2,1535.36,3070.72,UPI,Mumbai,2,Very satisfied with the product
38,12-05-2024,Hoodie,Accessories,3,449.44,1348.32,Credit Card,Delhi,1,Not happy with the packaging
39,01-05-2024,Joggers,Women Fashion,3,1184.42,3553.26,Wallet,Kolkata,2,Loved it! Great fit and style
40,13-09-2024,Cargo Pants,Men Fashion,2,852.06,1704.12,Wallet,Kolkata,1,Not happy with the packaging
